Country,Continent,RegionUN,SubregionUN,percent_undernourishment1991,percent_undernourishment2000,percent_undernourishment2010,percent_undernourishment2014,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,percent_nonstaples1991,percent_nonstaples2000,percent_nonstaples2009,gender_inequality_index,gender_inequality_rank,Year_PhysicianDensity,Ratio_Physician,Year_CHWdensity,Ratio_CHWdensity,Year_NursesMidwivesDensity,Ratio_NursesMidwivesDensity,year_earlychildbearing,percent_earlychildbearing,A1990_femaleED,A2000_femaleED,A2010_femaleED,A2011_13_femaleED,waterpiped1990,waterOtherIm1990,waterotherUnIm1990,watersurface1990,waterpiped2000,waterOtherIm2000,waterotherUnIm2000,watersurface2000,waterpiped2012,waterOtherIm2012,waterotherUnIm2012,watersurface2012,SantotalIm1990,Sanshared1990,SanOtherUnIm1990,SanDefecation1990,SantotalIm2000,Sanshared2000,SanOtherUnIm2000,SanDefecation2000,SantotalIm2012,Sanshared2012,SanOtherUnIm2012,SanDefecation2012,agriculture1990_govspend,education1990_govspend,health1990_govspend,socialprotection1990_govspend,agriculture2000_govspend,education2000_govspend,health2000_govspend,socialprotection2000_govspend,agriculture2010_govspend,education2010_govspend,health2010_govspend,socialprotection2010_govspend,agriculture2012_govspend,education2012_govspend,health2012_govspend,socialprotection2012_govspend
Azerbaijan,Asia,Asia,Western Asia,,14.9,,,,431,631,663,,31,37,0.34,62,2012,3.432,,,2012,6.687,2006,4.3,,,98.03332,99.52644348,43.8,26.1,21.5,8.6,45.8,28.2,17.1,8.9,50.8,29.4,11.4,8.4,,,,,62.1,5.6,32.2,0.1,82,7,10.6,0.3,,,,,4.472507,,,,3.104401112,10.13457775,3.683740616,9.638491631,,,,
Bahamas,Americas,Latin America and the Caribbean,Caribbean,9.5,6.2,6.9,,749,1186,1004,1003,71,71,73,0.316,53,2008,2.818,,,2008,4.14,,,,,95.30271,,,,,,93,3.6,3.4,,95.1,3.3,1.6,,,,,,88.6,4.4,5.8,1.2,92,4.6,3.4,0,1.955157042,18.88789368,15.15695095,4.12556076,1.432167411,19.77454376,16.19723129,6.647815228,0.973129153,17.76107407,17.22021675,7.360880375,,,,
Bahrain,Asia,Asia,Western Asia,,,,,,,,,,,,0.253,46,2011,0.913,,,2011,2.412,,,88.00211,103.52228,95.3172,96.62525177,38.9,56,5.1,,91.9,7,1.1,,100,0,0,0,99,,1,0,99.1,,0.9,0,99.2,,0.8,0,0.404285431,14.79684734,7.802709103,0.768142343,0.427635998,13.3368969,8.125083923,1.109180808,,11.70121098,7.843318939,5.26888895,,,,
Bangladesh,Asia,Asia,Southern Asia,33.9,18,15.1,16.70000076,65,62,141,137,15,16,20,0.529,115,2011,0.356,2011,0.334,2011,0.218,2011,40,13.58013,48.59026,52.89794,57.19301987,4.6,63.4,25.9,6.1,6.7,69.3,20.7,3.3,9.9,74.9,14.9,0.3,33.4,16.6,16,34,44.5,22.1,14.2,19.2,57,28.3,12.1,2.5,4.671533108,10.20438004,3.613138914,4.751824856,3.58004117,19.28668213,5.23345089,3.870177269,,,,,,,,
Barbados,Americas,Latin America and the Caribbean,Caribbean,,,,,317,410,538,505,66,67,70,0.35,66,2005,1.811,,,2005,4.856,,,81.54024,110.50429,106.15182,111.0150528,93.6,1.8,4.6,,96.5,2.6,0.9,,97.1,2.8,0.2,0,82.3,,17.2,0.4,90.1,,9.3,0.6,,,,,2.798020363,18.9407196,12.04317093,19.92838287,2.804975748,19.63460922,11.99174881,7.725624561,,,,,,,,
Belarus,Europe,Europe,Eastern Europe,,,,,,331,611,575,,54,63,0.152,28,2011,3.756,,,2011,10.529,2005,2.9,98.67258,,105.1914,104.4155426,,,0.5,0,73.1,26.4,0.4,0,87.8,11.8,0.4,0,95.2,4.5,0.3,0,94.9,4.6,0.4,0,94.3,4.8,0.8,0,,,,,13.08174515,6.08828783,5.528143883,2.771520853,10.97646904,7.021180153,4.562400818,9.09889698,,,,
Belgium,Europe,Europe,Western Europe,,,,,,526,523,515,,74,73,0.068,9,2011,2.993,,,2010,15.784,,,103.45143,151.71712,103.56901,105.8534927,99.9,0.1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,,10.72585869,10.12731838,34.41976929,,11.46304703,12.8428278,34.63579178,,11.83813,14.92772675,36.42559433,,,,
Belize,Americas,Latin America and the Caribbean,Central America,9.6,9.2,7.5,6.5,787,814,807,676,61,60,59,0.435,84,2009,0.828,2009,0.543,2009,1.959,2011,16.9,,69.76332,84.19224,86.07498169,45.5,27.5,21,6.1,61,24.1,11.7,3.2,79.1,20.2,0.6,0.1,75.9,6.1,11.2,6.7,82.7,6.7,6.5,4.1,90.5,7,0,2.4,12.84043598,16.53322983,7.886847496,0.648533344,,,,,,,,,,,,
Benin,Africa,Africa,Western Africa,22.4,17.8,9.7,9.699999809,203,204,223,206,26,27,29,0.614,134,2008,0.059,2004,0.013,2008,0.771,2006,23.2,,13.35844,,36.12411118,5.4,51.7,21.1,21.8,9.9,56.1,20.8,13.2,16.4,59.7,19.7,4.2,5,7.4,7.2,80.4,9,14.6,7.8,68.6,14.3,23.4,8.3,54,,,,,8.043559074,,,,,,,,,,,
Bhutan,Asia,Asia,Southern Asia,,,,,,,,,,,,0.495,102,2012,0.259,2012,0.854,2012,0.981,2010,15.3,,26.91774,66.78859,76.0641098,,,,,54.4,31.7,2.6,11.3,56.4,41.7,0.8,1.2,,,,,35,22.4,31.9,10.6,46.9,26.7,23.9,2.4,14.4523325,8.586883545,4.800540924,,7.991168976,13.44460201,9.218641281,,,,,,,,,
Bolivia,Americas,Latin America and the Caribbean,South America,33.9,29.9,26.1,19.5,391,418,284,277,48,49,48,0.472,97,2011,0.473,2001,0.119,2011,1.005,2008,20,,76.29585,77.37604,77.44023895,48.8,19.8,12.8,18.6,66.3,12.6,8.4,12.7,83,5.2,4.1,7.7,28.3,12.4,13.7,45.6,37,16.3,13,33.7,46.4,20.6,13.9,19.1,3.484385729,19.32930183,3.658916473,7.430031776,2.81025672,19.25673294,6.461344719,26.49472237,,,,,,,,
Bosnia and Herzegovina,Europe,Europe,Southern Europe,,,,,,426,766,763,,42,51,0.201,36,2010,1.694,,,,,,,,,,,,,2.6,0.3,83.2,14.4,2.2,0.2,87.6,12,0.4,0.1,,,,,95.1,0.6,3.6,0.7,95.4,0.6,4,0,,,,,,,,,,,,,,,,
Botswana,Africa,Africa,Southern Africa,25.1,35,30.8,26.60000038,162,302,242,229,52,49,52,0.486,100,2006,0.336,2006,0.523,2006,2.844,,,41.82383,76.58764,,,22.5,69.4,3.3,4.9,45.6,49.2,2.2,3,70.2,26.7,1.5,1.7,38.6,5.5,21.1,34.9,52,6.9,17.8,23.3,64.3,8.1,14.5,13.1,6.469115734,20.51698875,5.054616928,0.657847524,3.915485382,24.83942223,5.459801674,3.674251318,,,,,,,,
Brazil,Americas,Latin America and the Caribbean,South America,15,12.9,7.1,,341,403,498,530,61,65,66,0.441,85,2013,1.891,,,2013,7.601,1996,16,,,,,78.4,10.1,7.5,4.1,86.3,7.2,4.5,2,92.1,5.4,2,0.5,66.8,1,15.5,16.7,74.6,1.1,15.1,9.1,81.3,1.2,14.4,3.1,0.899011195,3.998425961,1.491476417,5.997639179,2.650235891,8.356730461,8.741898537,45.81407928,2.157800436,8.103869438,7.036922455,47.9981842,,,,
Brunei Darussalam,Asia,Asia,South-Eastern Asia,,,,,341,396,430,357,52,50,58,,,2011,1.498,,,2011,7.73,,,,87.98758,101.31832,108.5009995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,Europe,Eastern Europe,,,,,573,530,312,328,57,58,60,0.207,38,2011,3.812,,,2011,4.684,,,98.94269,91.53235,88.3423,91.00776672,86.2,13.7,0.1,0,90.7,9.1,0.1,0.2,97.3,2.2,0.4,0.1,99.5,,0.5,0,99.8,,0.2,0,100,0,0,0,,,,,2.393357038,6.400658131,5.872981548,2.708016634,1.561950445,5.177470207,4.185608864,5.156927586,,,,
Burkina Faso,Africa,Africa,Western Africa,22.9,26.5,24.5,20.70000076,84,102,66,63,24,27,28,0.607,133,2010,0.047,2010,0.129,2010,0.565,2010,28.2,,8.23542,18.91911,23.18195915,1.7,41.9,48.1,8.4,3.3,56.6,33.8,6.3,7.3,74.4,14.7,3.5,7.7,6.7,7.4,78.2,11.6,10.7,7.8,69.9,18.6,17,7.6,56.8,31.31039619,,,,24.73483467,,,,10.82619476,,,,,,,
Burundi,Africa,Africa,Eastern Africa,44.4,62.1,69.2,,,,,,54,48,50,0.501,104,2004,0.028,2004,0.093,2004,0.191,2010,11,3.97082,,18.95567,24.21676064,2.6,66.2,21.4,9.8,4,67.8,17.3,10.9,6.4,68.9,12.7,12,41.7,6.8,48.4,3.2,44.3,7.9,44.9,3,47.5,9.6,40.1,2.8,,,,,,,,,,,,,,,,
Cambodia,Asia,Asia,South-Eastern Asia,39.4,33.6,19.1,16.10000038,196,172,167,176,16,21,26,0.505,105,2008,0.227,2004,0.113,2008,0.786,2010,6.7,,11.98305,,,2.3,19.3,42.9,35.6,7.3,34.2,31.7,26.8,17.8,53.5,14.9,13.8,2.8,0.4,8.5,88.4,16.3,3.1,5.9,74.6,36.8,7.2,2,54.1,,,,,,,,,,,,,,,,
Cameroon,Africa,Africa,Middle Africa,38.3,31.7,14.9,10.5,408,423,550,584,41,42,43,0.622,138,2009,0.077,,,2009,0.438,2011,29.9,20.66401,,,46.43761063,10.9,40.4,34.8,13.9,13.3,48.4,27.2,11.1,16.2,57.9,17.8,8.1,39.9,12.7,36.3,11.2,42.2,13.8,35.3,8.7,45.2,15.1,33.7,6.1,4.332341194,16.63060188,4.457067013,1.053406596,,,,,,,,,,,,
Canada,Americas,Northern America,Northern America,,,,,627,674,671,666,74,72,71,0.136,23,2010,2.068,,,2011,9.288,,,99.73,102.51396,101.09044,102.314003,,,0.2,0,87.3,12.5,0.2,0,,,0.2,0,99.8,,0.2,0,99.8,,0.2,0,99.8,,0.2,0,2.543705225,3.225654602,5.252691269,28.91197205,1.582466483,2.836670876,0.998055816,29.06823349,,,,,,,,
Cape Verde,Africa,Africa,Western Africa,13.6,16.7,11.3,9.899999619,156,242,450,430,45,49,54,,,2010,0.295,2004,0.137,2010,0.453,2005,22.1,21.08764,,95.74395,100.8786011,,,,,26.3,56.4,16.7,0.6,55.4,33.9,10.6,0.1,,,,,44.3,,14.6,41.1,64.9,,9.3,25.8,,,,,,,,,,,,,,,,
Central African Republic,Africa,Africa,Middle Africa,48.5,46,30.9,37.59999847,196,207,182,184,43,44,45,0.654,144,2009,0.048,2009,0.401,2009,0.257,2010,45.3,6.51459,,,12.09358025,3.2,55.6,28.6,12.7,2.5,59.9,28.9,8.7,1.6,66.6,29,2.8,14.6,7.9,45.4,32.1,17.2,9.7,44.8,28.3,21.5,12.8,43.2,22.5,,,,,,,,,2.346354485,6.159106255,3.479623079,0.348449439,,,,
Chad,Africa,Africa,Middle Africa,60.1,41.7,34.7,34.79999924,74,58,45,45,35,41,35,0.707,151,2006,0.037,2004,0.03,2006,0.188,2010,47.4,2.41998,4.79952,13.59149,14.27567005,1.5,38.3,46.6,13.6,3.6,41.1,46.7,8.5,6.3,44.4,46.7,2.6,7.8,3,10.4,78.8,9.7,3.8,14.2,72.3,11.9,4.7,18.6,64.8,,,,,,,,,,,,,,,,
Chile,Americas,Latin America and the Caribbean,South America,9,,,,386,423,368,328,52,56,55,0.355,68,2009,1.024,1992,0.021,2009,0.144,,,79.9739,83.32978,90.47496,90.58561707,87.6,2.8,4.7,4.8,93.6,1.2,2.4,2.8,98.8,0,1.2,,84.8,,10.5,4.6,91.6,,5.6,2.8,98.9,,1,0.1,1.598118186,12.29145336,9.628120422,35.49944687,1.374369025,17.07946014,13.01336288,36.29698944,1.27462697,17.87901878,16.50901031,29.61588097,,,,
China,Asia,Asia,Eastern Asia,22.9,14.4,11.4,10.60000038,316,774,1103,1133,30,39,48,0.202,37,2010,1.456,2010,0.806,2010,1.512,,,31.81476,,83.53652,89.98155212,32.8,33.9,25.9,7.4,51.6,28.5,16,3.8,70.9,21,7.3,0.8,23.7,6.9,62.3,7.1,44.6,12.8,38.9,3.7,65.3,19.2,14.8,0.7,9.983169556,14.99713039,4.754890442,1.784932494,7.752117157,19.14367485,5.486093521,9.552576065,9.045514107,13.96399117,5.345451832,10.159338,,,,
Colombia,Americas,Latin America and the Caribbean,South America,20.3,13.1,12.4,11.39999962,320,403,424,428,59,59,59,0.46,92,2010,1.471,,,2010,0.616,2010,19.7,,75.02478,100.50218,96.80563354,76.9,11.5,5.8,5.8,82.4,7.5,4.8,5.3,87.3,3.8,4,4.9,68.9,9,6.1,16,74.6,9.7,5.2,10.5,80.2,10.4,4.2,5.3,6.253787994,19.22660065,5.804344654,6.528661251,1.242506504,18.95796013,8.079248428,14.93983746,0.520467877,8.109518051,3.466261387,9.07790947,,,,
Comoros,Africa,Africa,Eastern Africa,41.4,67.1,65.4,,,,,,42,42,43,,,2004,0.146,2004,0.052,2004,0.744,1996,17,,28.61749,,71.89112854,16.2,70.8,5.5,7.5,24.7,67.4,5.7,2.3,,,,,17.7,1.1,80.9,0.3,28.3,1.8,69.4,0.6,,,,,,,,,,,,,,,,,,,,
Congo (Republic of the),Africa,Africa,Middle Africa,42.4,32.6,35.3,31.5,230,297,273,270,40,39,38,0.617,135,2007,0.095,2004,0.032,2007,0.824,2005,29.2,42.22567,,,49.83697128,,,,,27.2,42,23.4,7.4,25.1,50.2,15.7,9,,,,,12.7,25.4,53.2,8.6,14.6,29.6,47.6,8.2,,,,,0.507424712,3.54480505,,0.960365951,,,,,,,,
Costa Rica,Americas,Latin America and the Caribbean,Central America,,,5.1,5.900000095,499,541,435,469,63,63,66,0.344,63,2013,1.113,,,2013,0.771,2010,8.9,44.38993,63.27715,102.19277,106.3794632,82.9,10.3,2.9,3.9,89.8,5.2,2.1,2.8,95.9,0.7,1.6,1.8,88.5,3.9,5.3,2.3,91.3,4,3.6,1.1,93.9,4.1,1.9,0.2,2.120669127,11.35752678,2.135603428,4.114396572,3.42653966,25.48892975,1.761758566,21.35122108,3.267923594,,,,,,,
Cote d'Ivoire,Africa,Africa,Western Africa,13.3,20,20.1,14.69999981,365,382,316,313,34,35,33,0.645,143,2008,0.144,,,2008,0.483,2012,31.1,,,,,22.9,53,14.1,9.9,29.9,47.6,15.8,6.7,40.4,39.8,16.6,3.2,14.9,20.1,28.8,36.1,17.7,23.9,25.6,32.9,21.9,29.4,21.2,27.5,2.174244642,,,,2.253095627,,,,,,,,,,,
Croatia,Europe,Europe,Southern Europe,,,,,,498,510,534,,62,66,0.172,33,2011,2.842,,,2011,5.798,,,,86.79547,101.78898,100.2989731,,,1.2,0.4,87.2,11.3,1.1,0.4,,,1.1,0.4,98.2,0.6,0.8,0.4,98.2,0.6,0.7,0.4,98.2,0.6,0.7,0.4,,,,,3.477676868,16.27024269,0.837831795,10.68094921,3.598716497,8.432559013,16.53522873,39.1183815,,,,
Cuba,Americas,Latin America and the Caribbean,Caribbean,7.8,,,,360,749,739,780,62,57,54,0.35,66,2010,6.723,,,2010,9.053,2010-2011,9.4,94.41668,84.11019,88.64476,90.42835999,,,,,71.2,19.4,8.7,0.7,76.7,17.3,5.3,0.7,81.5,4.5,11.9,2.1,86.8,4.8,6.7,1.8,92.6,5.2,1.5,0.8,,,,,,,,,,,,,,,,
Cyprus,Asia,Asia,Western Asia,,,,,728,671,528,508,69,72,72,0.136,23,2011,2.286,,,2010,4.461,,,65.12677,94.44011,91.994,96.18628693,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8.787405968,14.65758801,8.802452087,6.526605606,6.26762104,18.42798233,8.080057144,7.34888649,2.451534271,19.28371811,8.566246033,11.97668934,,,,
Czech Republic,Europe,Europe,Eastern Europe,,,,,,402,391,391,,69,70,0.087,13,2011,3.624,,,2011,8.43,,,87.24611,89.92761,94.76314,96.6446991,,,0.2,0,95.2,4.7,0.2,0,,,0.2,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,2.744323969,10.27706623,16.18443489,31.12519073,1.365148544,10.9449091,17.76644707,31.1477623,,,,
Democratic People's Republic of Korea,Asia,Asia,Eastern Asia,23.7,37.8,37.7,37.5,698,551,540,491,37,32,32,,,2003,3.291,,,2003,4.122,,,,,,,,,0,0,77.4,22.3,0.1,0.2,88.9,9.2,0,1.9,,,,,60.9,3.5,35.6,,81.8,4.7,13.4,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,Africa,Africa,Middle Africa,,,,,,,,,,,,0.669,147,2004,0.107,,,2004,0.529,2010,25.1,,,29.84732,32.15768051,14,29.2,32.6,24.3,11.9,32.1,34.6,21.4,8,38.5,37.2,16.4,17,10.8,54.4,17.8,22.6,13.1,50.3,14,31.4,17.1,42.6,8.9,,,,,3.317506552,,,,,,,,,,,
Denmark,Europe,Europe,Northern Europe,,,,,402,527,606,605,73,72,72,0.056,5,2009,3.424,,,2009,16.093,,,110.73565,129.64554,120.06082,125.302803,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0.609046638,12.22945023,,39.28275681,0.273010015,13.7154417,12.28415489,41.97068024,0.170427114,13.95284462,14.64963341,43.86561203,,,,
Djibouti,Africa,Africa,Eastern Africa,70.2,49.4,22.1,18.89999962,186,114,236,243,44,42,45,,,2006,0.229,2004,0.032,2008,0.8,,,,11.08178,,40.086689,54,22.6,21.8,1.6,58.1,24.2,16.1,1.5,63.3,28.8,7.8,0.1,61.9,5.2,13.6,19.4,61.8,5.1,16,17.2,61.4,4.9,20.1,13.6,,,,,,,,,,,,,,,,
Dominica,Americas,Latin America and the Caribbean,Caribbean,,,,,1003,1253,1119,1119,67,66,66,,,2001,1.59,,,2001,5.615,,,76.66582,112.07881,101.36135,100.1219101,,,,,68.4,26,5.5,,,,,,,,,,81.1,,2.3,16.6,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,32.5,22.3,15.6,14.69999981,413,439,722,775,65,66,66,0.505,105,2011,1.49,,,2011,1.33,2007,24.8,,64.89001,79.94159,80.24830627,73.8,15,5.9,5.3,71.3,14.5,10.8,3.4,66.5,14.4,17.5,1.6,73,10.8,6,10.2,77.4,11.2,4.4,6.9,82,11.6,2.5,3.9,18.24205399,11.27671051,12.00574589,4.869814873,8.556640625,16.59832764,11.89750671,7.01614809,,,,,,,,
Ecuador,Americas,Latin America and the Caribbean,South America,26.4,20,19.1,11.19999981,540,618,558,540,61,60,64,0.429,82,2009,1.687,,,2009,1.983,,,,59.22431,85.78802,87.55991364,58.5,15.4,17.7,8.4,71,8.6,13.8,6.6,85,1.3,9.2,4.5,57.1,7.8,14,21.1,69.6,9.5,7.2,13.8,83.1,11.4,0.3,5.2,,,,,3.332520723,9.044368744,3.191347837,6.480209351,1.594566345,16.31082726,7.735301018,6.029848099,,,,
Egypt,Africa,Africa,Northern Africa,,,,,594,812,874,828,32,34,33,0.58,130,2009,2.83,,,2009,3.52,2008,6.5,63.54874,82.44731,74.4336,85.45742798,60.9,32.1,5.4,1.7,78.4,17.7,3.3,0.5,96.1,3.2,0.7,0,71.7,3.5,14.5,10.3,85.6,4.5,6,4,95.9,4.1,0,0,5.389043331,15.9624815,3.206139565,0.694947779,6.849093437,19.86953926,4.581097126,0.735566258,,12.28076935,4.738421917,25.59026527,,,,
El Salvador,Americas,Latin America and the Caribbean,Central America,15.3,10.9,11.7,13.5,271,286,341,352,43,48,52,0.441,85,2008,1.596,,,2008,0.405,,,,53.52328,65.15146,69.31687927,42.1,32.7,21,4.2,59,24.5,13.8,2.6,73.1,17,8.3,1.5,50,5.2,25.8,19,61.3,6.4,21.8,10.5,70.5,7.4,17.8,4.3,5.408735275,16.17088699,7.805074215,3.216072798,5.631232738,24.23115349,5.048811436,1.430292964,1.831867456,18.5102253,11.27987957,12.75022984,,,,
Equatorial Guinea,Africa,Africa,Middle Africa,,,,,,,,,,,,,,2004,0.302,2004,2.515,2004,0.535,,,,19.13175,,,,,,,4.4,46.5,13.5,35.6,,,,,,,,,88.9,,11.1,,,,,,,,,,,,,,,,,,,,,
Eritrea,Africa,Africa,Eastern Africa,,76.5,66.4,,,,,,,24,19,,,2004,0.05,,,2004,0.583,2002,25.4,,18.4058,24.92545,26.44724083,6.3,36.3,34.2,23.2,7.4,46.3,35.8,10.5,,,,,9.2,,1.7,89.1,11.3,,2,86.7,,,,,,,,,,,,,,,,,,,,
Estonia,Europe,Europe,Northern Europe,,,,,,416,499,530,,64,65,0.154,29,2011,3.261,2000,0.032,2011,6.463,,,,94.859,108.99281,106.5165634,81.2,18,0.8,0,86,13.2,0.9,0,95.4,3.8,0.9,0,95.1,4.4,0.5,0,95.1,4.4,0.5,0,95.2,4.4,0.4,0,,,,,2.318385601,18.39461708,11.78923702,29.48430443,1.576592207,16.80550957,13.08433819,35.96557999,,,,
Ethiopia,Africa,Africa,Eastern Africa,,55.7,39.5,35,36,47,72,71,,18,25,0.547,121,2009,0.025,2009,0.364,2009,0.253,2011,22.2,,10.91984,,,1.2,12,37.9,48.9,4.1,24.9,35.4,35.7,10,41.5,31.8,16.7,2.4,3.6,1.6,92.5,8.2,6.6,8.8,76.3,23.6,13.3,26.5,36.7,6.878712177,9.924880028,3.246901035,4.494753838,6.604981422,8.793644905,2.723463774,7.023975849,,16.68870354,3.916516066,19.84161186,,,,
Fiji,Oceania,Oceania,Melanesia,6.6,,,,102,179,216,214,54,52,53,,,2009,0.426,,,2009,2.242,,,,82.05022,,92.92861176,56.9,28.5,12.4,2.2,64,27.2,6.3,2.5,69.6,26.8,1,2.7,57.2,2.8,34.8,5.3,74.2,3.6,20,2.2,87.2,4.2,8.6,0,6.747749329,20.99023247,7.655622005,5.144608498,3.743262053,20.59792519,9.280204773,4.172670841,,,,,,,,
Finland,Europe,Europe,Northern Europe,,,,,371,420,464,500,70,68,69,0.075,11,2009,2.905,,,2010,10.834,,,124.29231,130.43877,109.70214,110.2011566,93.9,6.1,0,0,97.6,2.4,0,0,99.4,0.6,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9.226259232,12.98257923,12.04181194,39.77932739,4.171980858,12.18437481,11.86093807,42.16718674,1.954126596,11.75380611,14.15264511,43.09395218,,,,
